"Fecha","Proyecto","Tarea","Un","Integrante"
01/02/19,"ProyectoF","Desarrollo",16,
01/02/19,"ProyectoH","Desarrollo",16,
01/02/19,"ProyectoH","Desarrollo",20,
01/02/19,"ProyectoF","Reunión",4,
01/02/19,"ProyectoB","Reunión",2,
01/02/18,"Generales","Asignación",16,
01/02/19,"ProyectoG","Desarrollo",16,
01/02/19,"ProyectoB","Asignación",2,
01/03/18,"ProyectoC","Test",1,
01/03/19,"ProyectoB","Reunión",4,
01/03/19,"ProyectoF","Test",2,
01/03/19,"ProyectoC","Test",2,
01/03/19,"ProyectoB","Test",2,
01/03/19,"ProyectoA","Test",3,
01/03/19,"ProyectoF","Test",4,
01/03/19,"ProyectoI","Test",2,
01/03/19,"ProyectoF","Desarrollo",10,
01/03/19,"ProyectoK","Corrección",8,
01/03/19,"ProyectoF","Corrección",2,
01/03/19,"ProyectoB","Revisión",2,
01/03/19,"ProyectoF","Test",2,
01/03/19,"ProyectoF","Entrega",6,
01/03/19,"ProyectoF","Corrección",3,
01/03/19,"Generales","Asignación",20,
01/03/19,"Generales","Asignación",8,
01/03/19,"ProyectoA","Corrección",3,
01/03/19,"ProyectoA","Corrección",6,
01/03/19,"ProyectoA","Corrección",5,
01/03/19,"ProyectoA","Corrección",3,
01/03/19,"ProyectoI","Revisión",16,
01/03/19,"ProyectoI","Revisión",40,
01/03/19,"ProyectoI","Corrección",1,
01/03/19,"ProyectoI","Corrección",7,
01/03/19,"ProyectoE","Desarrollo",16,
01/04/19,"ProyectoD","Test",1,
01/04/19,"ProyectoD","Asignación",1,
01/04/19,"ProyectoE","Desarrollo",8,
01/04/19,"ProyectoB","Desarrollo",32,
01/04/19,"ProyectoG","Desarrollo",40,
01/04/19,"ProyectoG","Desarrollo",20,
01/04/19,"ProyectoG","Desarrollo",20,
01/04/19,"ProyectoG","Desarrollo",20,
01/04/19,"ProyectoG","Desarrollo",16,
01/04/19,"ProyectoG","Desarrollo",6,
01/04/19,"ProyectoG","Desarrollo",16,
01/04/19,"ProyectoG","Desarrollo",4,
01/03/19,"ProyectoF","Desarrollo",12,
01/04/19,"ProyectoG","Test",4,
01/04/19,"ProyectoF","Test",1,
01/04/19,"ProyectoC","Test",1,
01/04/19,"ProyectoA","Test",2,
01/04/19,"ProyectoA","Corrección",5,
01/04/19,"ProyectoA","Corrección",2,
01/04/19,"ProyectoD","Test",1,
01/04/19,"ProyectoC","Test",4,
01/04/19,"ProyectoG","Corrección",8,
01/04/19,"ProyectoD","Revisión",4,
01/04/19,"ProyectoD","Desarrollo",20,
01/04/19,"ProyectoC","Desarrollo",32,
01/04/19,"ProyectoA","Corrección",3,
01/04/19,"ProyectoA","Corrección",2,
01/04/19,"ProyectoA","Corrección",5,
01/04/19,"ProyectoB","Revisión",11,
