"","x"
"6","GD"
"11","GD"
"23","GD"
"24","AG"
"36","AG"
"37","GD"
"41","NS"
"43","NS"
"48","NS"
"57","AG"
"68","GD"
"82","CA"
"83","AG"
"85","CA"
"87","NS"
"89","NS"
"94","NS"
"95","NS"
"112","CA"
"115","CA"
"122","CA"
"123","AG"
"135","NS"
"148","LM"
"158","AG"
"159","AG"
"161","GD"
"164","CA"
"169","GD"
"177","AA"
"178","AA"
"184","CA"
"186","CA"
"188","GD"
"189","GD"
"190","GD"
"193","GD"
"197","AA"
"204","GD"
"207","SD"
"212","GD"
"221","LC"
"223","AA"
"225","LM"
"228","NS"
"233","SD"
"237","LC"
"238","LC"
"240","SD"
"241","SD"
"246","LC"
"259","MI"
"262","AA"
"281","AG"
"294","LM"
"298","AG"
"299","LC"
"301","LC"
"302","LC"
"305","LM"
"308","AG"
"311","AG"
"318","MI"
"324","CA"
"325","SD"
"328","CA"
"331","AG"
"336","AG"
"349","AG"
"351","CA"
"356","MI"
"358","MI"
"362","LC"
"365","CA"
"380","CA"
"386","LC"
"387","CA"
"388","MI"
"389","PA"
"390","PA"
"405","AS"
"406","CA"
"410","CA"
"411","CA"
"414","AG"
"416","LM"
"429","MI"
"431","AG"
"434","AG"
"437","CA"
"444","MI"
"452","PA"
"454","PA"
"463","CA"
"464","CA"
"468","CA"
"478","PA"
"485","JC"
"490","LM"
"495","AG"
"496","JC"
"517","AS"
"519","PA"
"524","LM"
"528","CA"
"529","AG"
"533","AG"
"539","AG"
"541","JC"
"550","JC"
"552","JC"
"554","AS"
"561","CA"
"576","MI"
"584","AG"
"587","NS"
"589","NS"
"593","AG"
"599","AG"
"603","AG"
"615","NS"
"623","NS"
"628","AG"
"634","AG"
"638","AG"
"646","GD"
"650","LM"
"653","AA"
"658","AG"
"659","MI"
"670","NS"
"677","AG"
"678","AG"
